B2.SP,B8.SP,B10.SP,IPAC,WATER
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
3,105,89,0.964916,0.966522
2.9,105,89,0.964916,0.966522
